acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,4,13,-5.72897998418437,"{'0': 139.36500319258994, '1': 82.12622144876458, '2': 56.637481067112915}",278.1287057084674,6599.425595650312,0.5133420832795047
EI,5,17,-3.5512302034763175,"{'0': 140.2312463722262, '1': 84.92854380035472, '2': 60.77453587534081}",285.93432604792173,7475.016405314311,0.41812033521917696
EIPU,3,6,-3.4793580756486944,"{'0': 145.10902824419708, '1': 87.16101103027876, '2': 35.59514680277496}",267.86518607725077,4550.53721222639,0.7350918906249998
EIPU,5,5,-4.9328099160097185,"{'0': 140.6630848509199, '1': 68.75526056917937, '2': 74.89390118398059}",284.31224660407986,4038.4315268823593,0.7737809374999999
EI,1,14,-5.916174228057562,"{'0': 142.8826546976312, '1': 61.76132533502795, '2': 84.71548501956035}",289.3594650522195,6747.942976880866,0.48767497911552943
EI,2,12,-5.366474944024808,"{'0': 140.00240874061998, '1': 95.98770372410073, '2': 59.45481809032376}",295.4449305550445,6310.918154023326,0.5403600876626365
EEIPU,1,3,-7.870135130821174,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 40.082487932398905}",40.28248793537914,3140.8909064940794,0.8573749999999999
EI,3,16,-4.00588951333137,"{'0': 146.74717851690448, '1': 76.01377905959878, '2': 35.59579948996504}",258.3567570664683,7124.747849531348,0.44012666865176525
EEIPU,3,4,-8.493956318752081,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 41.899491603134145}",42.09949160611438,3357.8324388421765,0.8145062499999999
EI,4,14,-4.311912647194049,"{'0': 139.9955994957251, '1': 64.96161090808562, '2': 57.546220345734405}",262.5034307495451,6861.929026399857,0.48767497911552943
EEIPU,2,4,-6.845421124537049,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 61.648647913099616}",61.84864791607985,3218.6814573668216,0.8145062499999999
EIPU,4,5,-7.090911349132439,"{'0': 140.0000674624546, '1': 72.02971383140991, '2': 55.91196911034864}",267.94175040421317,4443.676385136696,0.7737809374999999
EEIPU,4,4,-9.53356128793903,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.452986385996546}",54.65298638897678,3495.5768984135316,0.8145062499999999
EIPU,1,3,-8.708785018590206,"{'0': 141.22176731587973, '1': 63.26498675354928, '2': 55.77084400037813}",260.25759806980716,3581.3594799029556,0.8573749999999999
EI,1,15,-5.124451518080565,"{'0': 140.88249102164013, '1': 67.79234824390053, '2': 89.1997372002146}",297.87457646575524,7045.817553346621,0.46329123015975293
EIPU-MEMO,4,3,-9.483280555995599,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 52.55082584619581}",52.750825849176046,3433.642684952369,0.8573749999999999
EI,5,18,-0.8363729697650943,"{'0': 139.9998024878917, '1': 79.46729255455155, '2': 70.55973065116903}",290.0268256936123,7765.043231007923,0.3972143184582181
EI,4,15,-4.311912647194049,"{'0': 139.24706414665954, '1': 47.731211167028064, '2': 58.99318963421185}",245.97146494789948,7107.9004913477565,0.46329123015975293
EI,2,13,-5.366474944024808,"{'0': 140.01263191393107, '1': 92.47428674120377, '2': 51.054825112941955}",283.5417437680768,6594.459897791403,0.5133420832795047
EI,3,17,-4.00588951333137,"{'0': 138.7293044526996, '1': 70.92579696684767, '2': 35.95775086619382}",245.6128522857411,7370.360701817089,0.41812033521917696
EIPU-MEMO,5,3,-6.024697897756148,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 74.61548971890791}",74.81548972188814,3083.1218521758688,0.8573749999999999
EIPU,5,6,-4.9328099160097185,"{'0': 146.0208871201055, '1': 68.72278357746897, '2': 74.89431662187577}",289.63798731945025,4328.069514201809,0.7350918906249998
EIPU,3,7,-3.4793580756486944,"{'0': 147.50147579236142, '1': 86.52702306641858, '2': 35.59518389421277}",269.62368275299275,4820.160894979383,0.6983372960937497
EI,1,16,-5.124451518080565,"{'0': 142.8824037916044, '1': 71.42870564545646, '2': 83.11416322979584}",297.4252726668567,7343.2428260134775,0.44012666865176525
EI,4,16,-4.311912647194049,"{'0': 139.98869914705546, '1': 67.31471449515502, '2': 56.34919208377171}",263.6526057259822,7371.553097073739,0.44012666865176525
EIPU,4,6,-5.3649388085740455,"{'0': 140.0000587604543, '1': 82.02540494782164, '2': 55.89894327889209}",277.924406987168,4721.600792123864,0.7350918906249998
EEIPU,5,4,-5.842660421424698,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 73.74404719683672}",73.94404719981695,3168.5611918907666,0.8145062499999999
EI,5,19,-0.8363729697650943,"{'0': 140.13357388169175, '1': 85.40374083012318, '2': 71.66194042167422}",297.19925513348915,8062.242486141412,0.37735360253530714
EIPU-MEMO,3,4,-8.493956318752081,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 45.43817362111774}",45.63817362409797,3354.9661381188516,0.8145062499999999
EI,1,17,-4.512284021839516,"{'0': 140.05712796756904, '1': 64.56286969166118, '2': 86.36414020588543}",290.98413786511566,7634.226963878593,0.41812033521917696
